direction,level,design,k,energy_iou_med,energy_iou_p05,energy_iou_p95,energy_precision_med,energy_precision_p05,energy_precision_p95,sure_day_recall_med,sure_day_recall_p05,sure_day_recall_p95,day_precision_med,day_precision_p05,day_precision_p95,fp_med,fp_p05,fp_p95,fn_med,fn_p05,fn_p95
beta->alpha,population,review,54,0.870523591515806,0.8697405340990845,0.8732303255262622,0.8910482803047195,0.8899369609629596,0.8947450892043468,0.883466430050281,0.873070097604259,0.8929902395740905,0.9812851654517523,0.9797199721989777,0.9847890471346219,57.0,45.6,62.1,394.0,361.8,429.15000000000003
beta->alpha,population,review,108,0.87075796519851,0.8697165630834746,0.8726009051807498,0.8909708798426319,0.8899407206272415,0.8939042089305111,0.8847973972197575,0.8714729370008873,0.8917923691215617,0.981973028672988,0.9795504315851717,0.9853476031215161,55.0,43.95,63.0,389.5,365.85,434.55
beta->alpha,station,random,9,0.8725613779613015,0.8691576765968936,0.8758662417436192,0.8962791337911806,0.8898189644542983,0.9069531664272061,0.8540548598688134,0.7961790384868507,0.8964181428052556,0.9851539388754776,0.9777969674279691,0.9896459663346725,43.5,29.55,68.25,489.5,347.3,683.6500000000001
beta->alpha,station,random,18,0.8713307711803235,0.8686373978352004,0.8753635179187867,0.8924414495193991,0.888232768109293,0.8997344380905321,0.8782505009668702,0.8338088657596133,0.8981604342581423,0.9811721781085534,0.9780385288170563,0.989013322422374,56.5,30.85,65.1,405.0,337.7,553.2
beta->alpha,station,random,27,0.8705520434049614,0.8681087165279565,0.8726058222624088,0.8906340904352483,0.8882010242191293,0.8927297793754135,0.8857490019093908,0.8684073969657992,0.8999522685824783,0.9807208431053411,0.9783255193249949,0.9857383628323984,57.5,41.85,65.45,376.0,328.4,433.8
beta->alpha,station,random,54,0.8702926859998026,0.8680126597616571,0.8716402538460719,0.8907575877410621,0.8883517514984206,0.8921862573063055,0.8867187969208177,0.875850012644156,0.8933020248266829,0.9812286798732202,0.9799786541342026,0.9839210718959615,54.0,45.9,58.05,362.5,342.2,398.0
beta->alpha,station,random,108,0.8698007406346155,0.8662459859932871,0.8719801597400771,0.8896411490496285,0.8850226403176162,0.8922799502349644,0.8942762392896029,0.8837667072844431,0.8993654884130645,0.9803813619837032,0.9776165938221005,0.9819604858291017,54.0,49.85,62.2,320.5,304.4,354.0
beta->alpha,station,review,9,0.8724771531389399,0.8701300996163939,0.8739068636432776,0.905451570731886,0.8911299517580398,0.9186788983636986,0.8074792275002549,0.7228889554616309,0.8780428387571244,0.984994571991476,0.9819934306224802,0.9930219153231705,41.5,17.9,53.05,641.0,406.35,921.7
beta->alpha,station,review,18,0.8692579406570144,0.8675868155111631,0.8726287323833878,0.8904501750367735,0.8875637009279416,0.9020684794212789,0.8808536785401162,0.8244560596194683,0.8980931362954264,0.9800591737003598,0.9775237651965942,0.9873538930260483,55.5,35.75,67.15,390.5,333.75,574.75
beta->alpha,station,review,27,0.8677131208260118,0.8644884512690569,0.8689226505404868,0.8894785355004771,0.8851098829606696,0.9006422448728303,0.8776519901258826,0.8330726747186952,0.8993854405424445,0.9813374755444715,0.9777754544440728,0.9843184393787682,54.0,44.6,65.4,395.0,324.3,537.9
beta->alpha,station,review,54,0.862126601777744,0.8605894116049508,0.8633353373450221,0.8843399278265489,0.88162180939971,0.8855612872825946,0.8847206788681679,0.8742913477809122,0.8951903784279582,0.9793905419460398,0.9761061236061236,0.9818884689344208,57.5,49.8,67.25,355.0,323.2,388.05
beta->alpha,station,review,108,0.8543617096659127,0.8527215316904022,0.8577627807692452,0.8781185053696372,0.8763016055274461,0.8814606472081155,0.8776452882816755,0.8720124426124268,0.8878571572692513,0.9772907789800898,0.9752182139962416,0.9794039313829395,57.0,51.85,63.05,344.0,316.2,360.25
