direction,level,design,k,draw,n_days,n_rpf,energy_iou,energy_precision,day_precision,sure_day_recall,fp,fn,rate_uncertain,single_class_stations
beta->alpha,population,review,54,6,10425,3381,0.870971181491198,0.8915367507970766,0.9844782034346103,0.8816918071576456,47,400,0.027721822541966427,0.0
beta->alpha,population,review,54,7,10425,3381,0.8701355907833093,0.890007930713662,0.9800131061598951,0.8846495119787046,61,390,0.03606714628297362,0.0
beta->alpha,population,review,54,8,10425,3381,0.8700495203342602,0.8902872287528485,0.9810704960835509,0.8890860692102928,58,375,0.03338129496402878,0.0
beta->alpha,population,review,54,9,10425,3381,0.8697411394274446,0.8901408147698736,0.9804560260586319,0.8902691511387164,60,371,0.03827338129496403,0.0
beta->alpha,population,review,54,10,10425,3381,0.8713441955477104,0.8919838513667607,0.9828722002635046,0.8825791186039633,52,397,0.031462829736211034,0.0
beta->alpha,population,review,54,11,10425,3381,0.8705909162468628,0.8908809918424611,0.9810147299509001,0.8864241348713399,58,384,0.03616306954436451,0.0
beta->alpha,population,review,54,12,10425,3381,0.8703296823962597,0.889940558773717,0.9802204928664072,0.8941141674060928,61,358,0.04067146282973621,0.0
beta->alpha,population,review,54,13,10425,3381,0.8701721469061275,0.8898686025585677,0.9797451813132964,0.8870156758355516,62,382,0.045179856115107914,0.0
beta->alpha,population,review,54,14,10425,3381,0.8709982656587326,0.8916570701274403,0.9831293417135296,0.8790298728186927,51,409,0.0347242206235012,0.0
beta->alpha,population,review,54,15,10425,3381,0.8704562667847494,0.8912139282570202,0.9818181818181818,0.878438331854481,55,411,0.027146282973621105,0.0
beta->alpha,population,review,54,16,10425,3381,0.870003157875332,0.8901285839305545,0.9792409990269219,0.8929310854776693,64,362,0.054772182254196645,0.0
beta->alpha,population,review,54,17,10425,3381,0.8719968388485262,0.8929235721599987,0.9846666666666667,0.8737060041407867,46,427,0.03223021582733813,0.0
beta->alpha,population,review,54,18,10425,3381,0.871218513691932,0.891175906944199,0.9810457516339869,0.8879029872818692,58,379,0.03980815347721822,0.0
beta->alpha,population,review,54,19,10425,3381,0.8712226257267464,0.8915915452662292,0.9821546596166556,0.8790298728186927,54,409,0.03079136690647482,0.0
beta->alpha,population,review,108,0,10425,3381,0.8697232851267033,0.8899570344876058,0.9826853969291082,0.8896776101745045,53,373,0.034244604316546766,0.0
beta->alpha,population,review,108,1,10425,3381,0.8717214839139812,0.8928677029158588,0.9853333333333333,0.8742975451049986,44,425,0.02762589928057554,0.0
beta->alpha,population,review,108,2,10425,3381,0.869904510897036,0.8902732965514158,0.9819316688567674,0.8840579710144928,55,392,0.030023980815347722,0.0
beta->alpha,population,review,108,3,10425,3381,0.8697431044217697,0.8899424483506292,0.9820671666123247,0.8908606921029282,55,369,0.033189448441247,0.0
beta->alpha,population,review,108,4,10425,3381,0.870490217171404,0.8909612561871443,0.9820143884892086,0.8881987577639752,55,378,0.038465227817745806,0.0
beta->alpha,population,review,108,5,10425,3381,0.8709389761805014,0.8910368313221346,0.9811074918566776,0.8908606921029282,58,369,0.03760191846522782,0.0
beta->alpha,population,review,108,6,10425,3381,0.8695888442621279,0.889907893882876,0.9813053460150869,0.8849452824608104,57,389,0.030215827338129497,0.0
beta->alpha,population,review,108,7,10425,3381,0.8714996838728087,0.8923082428431436,0.9838016528925619,0.8802129547471162,49,405,0.03357314148681055,0.0
beta->alpha,population,review,108,8,10425,3381,0.8708667888863008,0.8915343318550484,0.9815910585141354,0.8831706595681751,56,395,0.0339568345323741,0.0
beta->alpha,population,review,108,9,10425,3381,0.870176643766866,0.8906525077633776,0.9798505037374066,0.8917480035492458,62,366,0.04143884892086331,0.0
beta->alpha,population,review,108,10,10425,3381,0.8708688341058265,0.8909805034981196,0.981243830207305,0.8819875776397516,57,399,0.03280575539568345,0.0
beta->alpha,population,review,108,11,10425,3381,0.870907640983526,0.8915760909291541,0.9844370860927152,0.8793256433007985,47,408,0.025227817745803356,0.0
beta->alpha,population,review,108,12,10425,3381,0.8730134185384919,0.8942964015000604,0.98561872909699,0.8716356107660456,43,434,0.025995203836930457,0.0
beta->alpha,population,review,108,13,10425,3381,0.8700841694795122,0.8905605546218861,0.979518855656697,0.891156462585034,63,368,0.04249400479616307,0.0
beta->alpha,population,review,108,14,10425,3381,0.8703465984975716,0.8911152972649631,0.9843853820598006,0.8763679384797397,47,418,0.028489208633093524,0.0
beta->alpha,population,review,108,15,10425,3381,0.8706491415107194,0.890344343641873,0.9814090019569471,0.8899733806566105,57,372,0.03299760191846523,0.0
beta->alpha,population,review,108,16,10425,3381,0.8710568957998103,0.8907799304992409,0.9810704960835509,0.8890860692102928,58,375,0.033189448441247,0.0
beta->alpha,population,review,108,17,10425,3381,0.870897282492194,0.8911347949926977,0.9822660098522168,0.8846495119787046,54,390,0.026378896882494004,0.0
beta->alpha,population,review,108,18,10425,3381,0.8703752116219935,0.8905373013103937,0.9795520934761441,0.8926353149955635,63,363,0.035107913669064746,0.0
beta->alpha,population,review,108,19,10425,3381,0.8725791939513949,0.8938835672163243,0.9835845896147404,0.8683821354628808,49,445,0.026762589928057554,0.0
beta->alpha,station,random,9,0,10335,3353,0.8707850817937917,0.8918861053931156,0.979076718698107,0.8792126453921861,63,405,0.055152394775036286,5.0
beta->alpha,station,random,9,1,10335,3353,0.8675435354181177,0.8870272125988298,0.977871786527823,0.8962123471518043,68,348,0.16516690856313498,3.0
beta->alpha,station,random,9,2,10335,3354,0.8736309909810248,0.8957632847821843,0.9865887207702888,0.8553965414430531,39,485,0.04150943396226415,4.0
beta->alpha,station,random,9,3,10335,3357,0.8765322169053811,0.9009271785237527,0.9883966244725738,0.837354781054513,33,546,0.03647798742138365,5.0
beta->alpha,station,random,9,4,10335,3354,0.8718143346921245,0.8940656110097073,0.9800405953991881,0.8637447823494335,59,457,0.0428640541848089,5.0
beta->alpha,station,random,9,5,10335,3351,0.8705464075404181,0.8899658987624809,0.9763754045307443,0.9003282602208296,73,334,0.08514755684567005,4.0
beta->alpha,station,random,9,6,10335,3347,0.8738205598079417,0.903401112688513,0.9854067858445823,0.8069913355243502,40,646,0.033381712626995644,5.0
beta->alpha,station,random,9,7,10335,3352,0.8743190983546341,0.896794982800177,0.9850238257317904,0.8633651551312649,44,458,0.03260764392839865,5.0
beta->alpha,station,random,9,8,10335,3349,0.8728190304229223,0.8976876661657397,0.9811912225705329,0.8411466109286354,54,532,0.07256894049346879,4.0
beta->alpha,station,random,9,9,10335,3351,0.8701900475183753,0.8903764218772935,0.9824095585794889,0.8833184124142047,53,391,0.045476536042573776,4.0
