anchors,cohort,station,n_days,n_rpf,required_mwh,applied_mwh,energy_iou,energy_precision,day_precision,day_recall,day_f1,tp,fp,fn,rate_auto_correct,rate_auto_keep,rate_uncertain,sure_rpf_days,sure_day_recall,sure_day_uncertain_rate
gap_edge,alpha,alpha_G,1037,650,5828.545406499999,6343.139689,0.863405803003758,0.8891068410932483,0.9660743134087236,0.92,0.9424743892829,598,21,52,0.5969141755062681,0.360655737704918,0.0424300867888138,650,0.92,0.043076923076923
gap_edge,alpha,alpha_H,1039,0,0.0,0.0,0.0,,,,0.0,0,0,0,0.0,0.9980750721847932,0.0019249278152069,0,,
gap_edge,alpha,alpha_I,1042,148,1199.690992,1497.1968235,0.7708967353965451,0.7841279840919996,0.9699248120300752,0.8716216216216216,0.9181494661921707,129,4,19,0.1276391554702495,0.8512476007677543,0.0211132437619961,148,0.8716216216216216,0.0878378378378378
gap_edge,alpha,alpha_J,1055,387,1542.0867715000002,1783.44142,0.8001518754502738,0.8288292423981046,0.9647058823529412,0.8475452196382429,0.9023383768913342,328,12,59,0.3222748815165877,0.6322274881516587,0.0454976303317535,387,0.8475452196382429,0.0956072351421188
gap_edge,beta,beta_A,337,26,754.99691,738.3118354999999,0.95574060191616,0.9884132583433306,1.0,0.9230769230769232,0.96,24,0,2,0.0712166172106825,0.8931750741839762,0.0356083086053412,26,0.9230769230769232,0.0384615384615384
gap_edge,beta,beta_B,231,125,4769.1721835,4703.460493499999,0.8890926088713529,0.9478660044367612,1.0,0.864,0.927038626609442,108,0,17,0.4675324675324675,0.4848484848484848,0.0476190476190476,125,0.864,0.056
gap_edge,beta,beta_C,339,0,0.0,0.0,0.0,,,,0.0,0,0,0,0.0,0.9941002949852508,0.0058997050147492,0,,
gap_edge,beta,beta_D,188,45,475.143817,407.0863165,0.7921505485619585,0.9579186322269814,0.9666666666666668,0.6444444444444445,0.7733333333333334,29,1,16,0.1595744680851064,0.6968085106382979,0.1436170212765957,45,0.6444444444444445,0.1111111111111111
gap_edge,beta,beta_E,306,21,87.1145895,94.1866935,0.899125056861397,0.9113346090655576,0.9545454545454546,1.0,0.9767441860465116,21,1,0,0.0718954248366013,0.8954248366013072,0.0326797385620915,21,1.0,0.0
gap_edge,beta,beta_F,286,164,1578.0256439999998,1627.7909875,0.9288564835286884,0.9483938732643954,0.940119760479042,0.9573170731707316,0.9486404833836858,157,10,7,0.583916083916084,0.3531468531468531,0.0629370629370629,164,0.9573170731707316,0.0365853658536585
gap_edge,beta,beta_G,283,85,2201.512978,2347.6825685,0.8700366556153777,0.9015351431655868,0.8837209302325582,0.8941176470588236,0.888888888888889,76,10,9,0.303886925795053,0.6325088339222615,0.0636042402826855,85,0.8941176470588236,0.0470588235294117
gap_edge,beta,beta_H,335,4,30.1796275,6.657839999999999,0.1734453642958175,0.8178171899595065,1.0,0.25,0.4,1,0,3,0.0029850746268656,0.9880597014925372,0.008955223880597,4,0.25,0.0
