cohort,target,applies,rule,metric,point,ci_low,ci_high
alpha,0.975,energy,L,day_recall,0.9139307897071872,0.8854943449118364,0.9302504418576232
alpha,0.99,both,E,energy_precision,0.9077784706137846,0.8767964110283467,0.9178501414362814
alpha,0.99,both,E,day_precision,0.9951600893521966,0.9928684344981473,0.9972605119731264
alpha,0.99,both,E,day_recall,0.7905944986690329,0.7456187052718285,0.8174962742820384
alpha,0.99,both,L,energy_precision,0.8882579552591477,0.8497033769245882,0.9014790351718827
alpha,0.99,both,L,day_precision,0.9770700636942675,0.9648090974088788,0.9874898352793996
alpha,0.99,both,L,day_recall,0.9074238391008578,0.8800830648223628,0.9221108968275529
alpha,0.99,day,E,energy_precision,0.9019786926460044,0.86160703246732,0.9141005800332693
alpha,0.99,day,E,day_precision,0.9893579283433842,0.9811691895801348,0.9964760803394275
alpha,0.99,day,E,day_recall,0.8249038745933156,0.7892375831538482,0.8431428678122793
alpha,0.99,day,L,energy_precision,0.8882579552591477,0.849127776780148,0.9020808892225197
alpha,0.99,day,L,day_precision,0.9770700636942675,0.9648141627543035,0.9879245883115853
alpha,0.99,day,L,day_recall,0.9074238391008578,0.8814583379894511,0.9223785333337458
alpha,0.99,energy,E,energy_precision,0.9077784706137846,0.8773337363409626,0.9165375215583743
alpha,0.99,energy,E,day_precision,0.9951600893521966,0.992775933455183,0.9972613816785437
alpha,0.99,energy,E,day_recall,0.7905944986690329,0.747764114825441,0.8199954138958955
alpha,0.99,energy,L,energy_precision,0.8860446178641213,0.842545836057625,0.8978753952444766
alpha,0.99,energy,L,day_precision,0.9735349716446124,0.96089698696676,0.9829316147079269
alpha,0.99,energy,L,day_recall,0.9139307897071872,0.8850929277362038,0.9301227893270939
