candidate,cohort,station,n_days,n_rpf,energy_iou,energy_precision,sure_day_recall,fp,fn,rate_uncertain
C2,alpha,alpha_J,1055,387,0.8206224671050215,0.8537246982642969,0.7906976744186046,7,81,0.024644549763033177
C2,beta,beta_A,337,26,0.9322717348121368,0.9416746886454798,1.0,32,0,0.0830860534124629
C2,beta,beta_B,231,125,0.9236124431325515,0.9406530125409418,0.968,4,4,0.017316017316017316
C2,beta,beta_C,339,0,0.0,,,0,0,0.0058997050147492625
C2,beta,beta_D,188,45,0.7713335478508855,0.7761059564439077,0.9555555555555556,43,2,0.12234042553191489
C2,beta,beta_E,306,21,0.7358384156818781,0.7439958719630918,1.0,22,0,0.0196078431372549
C2,beta,beta_F,286,164,0.9196233921383404,0.9311285231724181,1.0,32,0,0.038461538461538464
C2,beta,beta_G,283,85,0.8069793254797973,0.8179520868630484,0.9529411764705882,25,4,0.03180212014134275
C2,beta,beta_H,335,4,0.35702503561446386,0.6545619651585455,0.5,1,2,0.01791044776119403
C3,alpha,alpha_A,1039,0,0.0,,,0,0,0.0019249278152069298
C3,alpha,alpha_B,1055,27,0.5360440499114615,0.5539810664058573,0.6296296296296297,0,10,0.013270142180094787
C3,alpha,alpha_C,1055,627,0.8480790208576944,0.8742477215060506,0.8421052631578947,15,99,0.07109004739336493
C3,alpha,alpha_D,1035,0,0.0,,,0,0,0.002898550724637681
C3,alpha,alpha_E,1035,700,0.8969633122090837,0.9155046694722566,0.8928571428571429,4,75,0.04830917874396135
C3,alpha,alpha_F,1033,842,0.888590152524314,0.9050406564185944,0.9014251781472684,3,83,0.06776379477250725
C3,alpha,alpha_G,1037,650,0.8640300666813131,0.8942232127173895,0.8907692307692308,12,71,0.06171648987463838
C3,alpha,alpha_H,1039,0,0.0,,,0,0,0.0019249278152069298
C3,alpha,alpha_I,1042,148,0.7775665635523502,0.7912509330594775,0.8378378378378378,3,24,0.023032629558541268
C3,alpha,alpha_J,1055,387,0.8174829611941486,0.848501253177044,0.8036175710594315,7,76,0.054976303317535544
C3,beta,beta_A,337,26,0.9127722551488895,0.9217840754095572,1.0,50,0,0.0712166172106825
C3,beta,beta_B,231,125,0.9257784992653723,0.9407836449855091,0.976,4,3,0.012987012987012988
C3,beta,beta_C,339,0,0.0,,,0,0,0.008849557522123894
C3,beta,beta_D,188,45,0.7493358604243245,0.7514147628188612,1.0,49,0,0.13297872340425532
C3,beta,beta_E,306,21,0.7119044176127591,0.7195370904156586,1.0,23,0,0.026143790849673203
C3,beta,beta_F,286,164,0.912458166815061,0.9237836083763884,1.0,37,0,0.03496503496503497
C3,beta,beta_G,283,85,0.7916592266092544,0.7992191744342986,0.9764705882352941,31,2,0.01060070671378092
C3,beta,beta_H,335,4,0.33539082609697407,0.390011080825912,0.75,3,1,0.011940298507462687
C4,alpha,alpha_A,1039,0,0.0,,,0,0,0.0019249278152069298
C4,alpha,alpha_B,1055,27,0.41316662654614494,0.4230343273868925,0.7037037037037037,3,8,0.004739336492890996
C4,alpha,alpha_C,1055,627,0.8456239268552045,0.869335991439536,0.9011164274322169,23,62,0.012322274881516588
C4,alpha,alpha_D,1035,0,0.0,,,0,0,0.002898550724637681
C4,alpha,alpha_E,1035,700,0.8921781205784055,0.9098345178561323,0.9214285714285714,10,55,0.00676328502415459
C4,alpha,alpha_F,1033,842,0.8842001824318433,0.898995931136965,0.9429928741092637,10,48,0.00484027105517909
C4,alpha,alpha_G,1037,650,0.8621406227062397,0.8877023027016793,0.9292307692307692,22,46,0.006750241080038573
C4,alpha,alpha_H,1039,0,0.0,,,0,0,0.0019249278152069298
C4,alpha,alpha_I,1042,148,0.7709352065450683,0.7837774550993298,0.8851351351351351,4,17,0.0067178502879078695
C4,alpha,alpha_J,1055,387,0.795561064886318,0.821809589811873,0.8656330749354005,14,52,0.004739336492890996
C4,beta,beta_A,337,26,0.9046921866013915,0.9135443899949982,1.0,66,0,0.011869436201780416
C4,beta,beta_B,231,125,0.9240790543140521,0.9390287161215701,0.976,6,3,0.004329004329004329
C4,beta,beta_C,339,0,0.0,0.0,,1,0,0.0058997050147492625
C4,beta,beta_D,188,45,0.719820548397166,0.7217386962954743,1.0,60,0,0.03723404255319149
C4,beta,beta_E,306,21,0.68893462937654,0.6960802357669534,1.0,28,0,0.0032679738562091504
C4,beta,beta_F,286,164,0.9110659521619332,0.9223566458958093,1.0,41,0,0.01048951048951049
