model_family,model_variant,regime,dataset,subset,summary_scope,substation_id,prediction_source,notes,day_support,day_positive_support,day_tp,day_fp,day_fn,day_tn,day_precision,day_recall,day_f1,interval_support,interval_positive_support,interval_tp,interval_fp,interval_fn,interval_tn,interval_precision,interval_recall,interval_f1,manual_correction_MWh,predicted_correction_MWh,overlap_correction_MWh,union_correction_MWh,energy_precision,energy_recall,energy_f1,energy_iou,weight_F1_bridge_improvement,weight_F2_roughness_improvement,weight_F3_slope_continuity_improvement,weight_F4_duration_plausibility,weight_F5_n_height_ratio,weight_F6_solar_strength_ratio,weight_F7_solar_peak_alignment,weight_F8_site_centered_core_score,weight_F9_site_rank_core_score
small_grid_physical_score,G_b1p0_r2p0_sc0p5,R1_beta_loso,beta,beta_all,site,beta_G,C14_small_weight_grid,Top-10 day-F1 grid candidate expanded to selected v0.3 candidate window.,366,117,101,27,16,222,0.7890625,0.8632478632478633,0.8244897959183674,35136,2717,2269,560,448,31859,0.8020501944149876,0.8351122561648877,0.8182473855030653,2727.614458,2861.7299895,2414.1657855,3175.1786620000003,0.8436036224094648,0.885083219301516,0.8638457723176487,0.760324391944405,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0
small_grid_physical_score,G_b1p0_r2p0_sc0p5,R1_beta_loso,beta,beta_all,site,beta_H,C14_small_weight_grid,Top-10 day-F1 grid candidate expanded to selected v0.3 candidate window.,366,15,3,1,12,350,0.75,0.2,0.31578947368421056,35040,207,45,21,162,34812,0.6818181818181818,0.21739130434782608,0.32967032967032966,98.3482825,35.2148205,23.0019845,110.56111849999999,0.65319045144643,0.23388293028909782,0.3444362100512145,0.20804768269416524,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0
small_grid_physical_score,G_b2p0_r1p5_sc0p0,R1_beta_loso,beta,beta_all,site,beta_A,C14_small_weight_grid,Top-10 day-F1 grid candidate expanded to selected v0.3 candidate window.,366,30,27,13,3,323,0.675,0.9,0.7714285714285714,35136,494,450,118,44,34524,0.7922535211267606,0.9109311740890689,0.847457627118644,783.9919125000001,803.0262984999999,761.0279225,825.9902885000001,0.9476998747382868,0.9707088942706408,0.9590664016646246,0.9213521431129997,2.0,1.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0
small_grid_physical_score,G_b2p0_r1p5_sc0p0,R1_beta_loso,beta,beta_all,site,beta_B,C14_small_weight_grid,Top-10 day-F1 grid candidate expanded to selected v0.3 candidate window.,366,153,122,17,31,196,0.8776978417266187,0.7973856209150327,0.8356164383561644,35136,3233,2602,333,631,31570,0.8865417376490631,0.8048252397154346,0.8437094682230869,5345.8698565,5015.6056725,4681.243560999999,5680.231967999999,0.9333356461148311,0.8756748081527111,0.9035862793668717,0.8241289418059203,2.0,1.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0
small_grid_physical_score,G_b2p0_r1p5_sc0p0,R1_beta_loso,beta,beta_all,site,beta_C,C14_small_weight_grid,Top-10 day-F1 grid candidate expanded to selected v0.3 candidate window.,366,13,0,0,13,353,0.0,0.0,0.0,35136,168,0,0,168,34968,0.0,0.0,0.0,88.23298199999999,0.0,0.0,88.23298199999999,0.0,0.0,0.0,0.0,2.0,1.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0
small_grid_physical_score,G_b2p0_r1p5_sc0p0,R1_beta_loso,beta,beta_all,site,beta_D,C14_small_weight_grid,Top-10 day-F1 grid candidate expanded to selected v0.3 candidate window.,366,77,59,32,18,257,0.6483516483516484,0.7662337662337663,0.7023809523809524,35136,848,634,827,214,33461,0.43394934976043803,0.7476415094339622,0.5491554785621481,613.355565,602.733491,521.3277595,694.7612965000001,0.8649390937859798,0.8499601034841837,0.8573841807519728,0.7503696048215316,2.0,1.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0
small_grid_physical_score,G_b2p0_r1p5_sc0p0,R1_beta_loso,beta,beta_all,site,beta_E,C14_small_weight_grid,Top-10 day-F1 grid candidate expanded to selected v0.3 candidate window.,366,44,39,14,5,308,0.7358490566037735,0.8863636363636364,0.8041237113402062,35040,553,473,210,80,34277,0.6925329428989752,0.8553345388788427,0.7653721682847897,147.81065700000002,167.3743935,132.3745155,182.810535,0.790888694094058,0.8955681422889554,0.8399796582357258,0.7241076970755542,2.0,1.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0
small_grid_physical_score,G_b2p0_r1p5_sc0p0,R1_beta_loso,beta,beta_all,site,beta_F,C14_small_weight_grid,Top-10 day-F1 grid candidate expanded to selected v0.3 candidate window.,366,185,173,39,12,142,0.8160377358490566,0.9351351351351351,0.8715365239294709,35040,3993,3469,569,524,30478,0.859088657751362,0.8687703481091911,0.8639023782841488,1676.802064,1703.2304675,1578.0894695,1801.943062,0.9265272666336918,0.9411304431099508,0.9337717639064682,0.8757709956431464,2.0,1.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0
small_grid_physical_score,G_b2p0_r1p5_sc0p0,R1_beta_loso,beta,beta_all,site,beta_G,C14_small_weight_grid,Top-10 day-F1 grid candidate expanded to selected v0.3 candidate window.,366,117,94,20,23,229,0.8245614035087719,0.8034188034188035,0.8138528138528138,35136,2717,2137,430,580,31989,0.8324892871055707,0.7865292602134707,0.8088569265707797,2727.614458,2619.311644,2290.5291294999997,3056.3969724999997,0.8744775119626811,0.8397554583940395,0.8567648348995266,0.7494213448413564,2.0,1.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0
small_grid_physical_score,G_b2p0_r1p5_sc0p0,R1_beta_loso,beta,beta_all,site,beta_H,C14_small_weight_grid,Top-10 day-F1 grid candidate expanded to selected v0.3 candidate window.,366,15,3,1,12,350,0.75,0.2,0.31578947368421056,35040,207,45,21,162,34812,0.6818181818181818,0.21739130434782608,0.32967032967032966,98.3482825,35.2148205,23.0019845,110.56111849999999,0.65319045144643,0.23388293028909782,0.3444362100512145,0.20804768269416524,2.0,1.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0
