dataset,substation_id,date,v03_candidate_count,v03_selected_left_slot,v03_selected_right_slot,v03_selected_duration_h,selected_start_time,selected_end_time,M0_all_equal_score,n_missing_net,n_missing_solar,F5_n_height_ratio,F7_solar_peak_alignment,F6_solar_strength_ratio,F1_bridge_improvement,F2_roughness_improvement,F3_slope_continuity_improvement,F4_duration_plausibility,F8_site_centered_core_score,F9_site_rank_core_score,true_day,confidence,month,month_sin,month_cos,is_weekend,season,season_autumn,season_spring,season_summer,season_winter
beta,beta_G,2023-11-27,815,36,52,4.25,09:00,13:00,3.204663212713844,0,0,0.0762375099847509,0.5714285714285714,1.0,0.072360144551871,-0.027694996533705,0.3196714553735867,1.0,0.08337091042243,0.1092896174863387,False,sure,11,-0.5000000000000004,0.8660254037844384,0,spring,0,1,0,0
beta,beta_G,2023-11-28,488,62,64,0.75,15:30,16:00,2.7524819978602326,0,0,0.0,1.0,0.7935675160765346,0.1424457081949296,-0.0343820227178417,0.1991043733999981,0.5,0.0643147289175411,0.0874316939890711,False,sure,11,-0.5000000000000004,0.8660254037844384,0,spring,0,1,0,0
beta,beta_G,2023-11-29,823,34,65,8.0,08:30,16:15,3.9151497165912126,0,0,0.2510480536739719,0.8928571428571429,1.0,-0.1074221577190832,-0.1274196468479195,0.7188803429710603,1.0,0.1232715554265316,0.1639344262295081,False,sure,11,-0.5000000000000004,0.8660254037844384,0,spring,0,1,0,0
beta,beta_G,2023-11-30,805,37,62,6.5,09:15,15:30,4.221621920989319,0,0,0.1927640704676,0.8928571428571429,1.0,0.0539552988229966,0.0642617907768231,0.5697164583600555,1.0,0.1912365586118042,0.2568306010928962,True,unsure,11,-0.5000000000000004,0.8660254037844384,0,spring,0,1,0,0
beta,beta_G,2023-12-01,791,37,46,2.5,09:15,11:30,1.9710594669512125,0,0,0.0,0.25,1.0,-0.4913640060150712,-0.0604212515130668,0.4367095962644662,1.0,-0.0764331777960447,-0.087431693989071,False,sure,12,-2.4492935982947064e-16,1.0,0,summer,0,0,1,0
beta,beta_G,2023-12-02,823,47,50,1.0,11:45,12:30,4.175087922073617,0,0,0.0,0.9642857142857144,1.0,0.7540620940263143,0.0147655159981784,0.1473382105688616,0.6666666666666666,0.2673139828229638,0.360655737704918,False,sure,12,-2.4492935982947064e-16,1.0,1,summer,0,0,1,0
beta,beta_G,2023-12-03,805,36,47,3.0,09:00,11:45,5.069031036648076,0,0,0.0637783095844081,0.75,1.0,0.8356970202134965,0.0456909302793376,0.4000829726720976,1.0,0.389082350346823,0.5846994535519126,True,unsure,12,-2.4492935982947064e-16,1.0,1,summer,0,0,1,0
beta,beta_G,2023-12-04,643,54,55,0.5,13:30,13:45,1.5271720235431312,0,0,0.0,0.75,0.9581927307998248,-0.9830329850527896,-0.147942615209474,0.9254053821131542,0.3333333333333333,-0.1065980300911906,-0.2021857923497267,False,sure,12,-2.4492935982947064e-16,1.0,0,summer,0,0,1,0
beta,beta_G,2023-12-05,805,35,51,4.25,08:45,12:45,1.76951372174089,0,0,0.0381231796772107,0.4285714285714286,1.0,-0.4698783727259661,-0.1250932966563993,0.3137567266310296,1.0,-0.1318129382919328,-0.2841530054644808,False,sure,12,-2.4492935982947064e-16,1.0,0,summer,0,0,1,0
beta,beta_G,2023-12-06,773,39,41,0.75,09:45,10:15,-0.0420894550069878,0,0,0.0,0.0714285714285714,0.9523166010471154,-0.998996921880578,-0.3714252798290477,0.8188644942107026,0.5,-0.2219271932077952,-0.7923497267759563,False,sure,12,-2.4492935982947064e-16,1.0,0,summer,0,0,1,0
