method,cohort,station,n_days,n_rpf,required_mwh,applied_mwh,energy_iou,energy_precision,day_precision,day_recall,day_f1,tp,fp,fn,rate_auto_correct,rate_auto_keep,rate_uncertain,sure_rpf_days,sure_day_recall,sure_day_uncertain_rate,n_stations,interval_precision,interval_recall,interval_f1,slot_tp,slot_fp,slot_fn,window_iou_mean,start_error_mae,end_error_mae,false_mwh,min_change_days,min_change_mean_mw,min_change_total_mw,reference_min_change_days,reference_min_change_mean_mw
m8,beta,beta_E,306,21,87.1145895,84.70660799999999,0.818111742747637,0.9127492922393965,0.8181818181818182,0.8571428571428571,0.8372093023255814,18,4,3,0.0718954248366013,0.9281045751633987,0.0,21,0.8571428571428571,0.0,1,0.8713235294117647,0.8404255319148937,0.8555956678700362,237,35,45,0.7562034867928278,0.8333333333333334,0.9444444444444444,7.390711499999998,22,-1.1900380000000002,-26.180836000000003,21,-1.1108819047619047
m8,beta,beta_F,286,164,1578.0256439999998,397.2647175,0.2514641623230901,0.9990992467132448,0.9866666666666667,0.45121951219512196,0.6192468619246863,74,1,90,0.26223776223776224,0.7377622377622378,0.0,164,0.45121951219512196,0.0,1,0.9967266775777414,0.16879157427937916,0.28869400331832185,609,2,2999,0.1406069974309824,8.027027027027026,6.702702702702703,0.3578374999999999,75,-1.52990216,-114.742662,164,-1.4188688658536586
m8,beta,beta_G,283,85,2201.5129779999997,2070.398575,0.7710698654980259,0.8983101963833219,0.8314606741573034,0.8705882352941177,0.8505747126436781,74,15,11,0.31448763250883394,0.6855123674911661,0.0,85,0.8705882352941177,0.0,1,0.8723849372384938,0.790521327014218,0.8294380905022376,1668,244,442,0.7664171961879743,1.6081081081081081,1.3783783783783783,210.53842450000002,89,-3.6922792247191007,-328.612851,85,-3.742378576470588
m8,beta,beta_H,335,4,30.179627500000002,0.0,0.0,,,0.0,0.0,0,0,4,0.0,1.0,0.0,4,0.0,0.0,1,,0.0,0.0,0,0,63,0.0,,,0.0,0,,0.0,4,-1.88848475
m9,alpha,alpha_A,1039,0,0.0,0.0,0.0,,,,0.0,0,0,0,0.0,0.9980750721847931,0.0019249278152069298,0,,,1,,,0.0,0,0,0,,,,0.0,0,,0.0,0,
m9,alpha,alpha_B,1055,27,29.610468499999996,53.899021000000005,0.502355957166528,0.5180762281377985,0.9473684210526315,0.6666666666666666,0.782608695652174,18,1,9,0.01800947867298578,0.9696682464454977,0.012322274881516588,27,0.6666666666666666,0.14814814814814814,1,0.7419354838709677,0.8098591549295775,0.7744107744107744,115,40,27,0.45946645946645953,1.2777777777777777,1.1111111111111112,25.975219500000005,19,-1.0827036315789473,-20.571369,27,-0.48831592592592593
m9,alpha,alpha_C,1055,627,3752.316103,4177.232511,0.8453711114562685,0.8696079505831462,0.9653979238754326,0.8899521531100478,0.9261410788381743,558,20,69,0.547867298578199,0.4028436018957346,0.04928909952606635,627,0.8899521531100478,0.051036682615629984,1,0.8164075797117895,0.9083449059462189,0.8599258993665592,7195,1618,726,0.6482080417826731,1.636200716845878,1.6200716845878136,544.677908,578,-1.3759174238754326,-795.2802710000001,627,-1.1823009138755982
m9,alpha,alpha_D,1035,0,0.0,0.0,0.0,,,,0.0,0,0,0,0.0,0.9971014492753624,0.002898550724637681,0,,,1,,,0.0,0,0,0,,,,0.0,0,,0.0,0,
m9,alpha,alpha_E,1035,700,6326.578003500001,6785.817029500001,0.8946390419315001,0.9124335456708028,0.989247311827957,0.92,0.9533678756476685,644,7,56,0.6289855072463768,0.336231884057971,0.034782608695652174,700,0.92,0.02857142857142857,1,0.8456543919859011,0.9289790095781536,0.8853605243991259,9117,1664,697,0.7019981315015974,1.3027950310559007,1.4658385093167703,594.2099370000001,651,-1.8435211751152072,-1200.132285,700,-1.6669636185714287
m9,alpha,alpha_F,1033,842,13356.8295205,14530.164531000002,0.8869308096649166,0.9021213014508018,0.9924050632911392,0.9311163895486936,0.9607843137254902,784,6,58,0.7647628267182962,0.1868344627299129,0.0484027105517909,842,0.9311163895486936,0.040380047505938245,1,0.8264248704663213,0.9421553090332805,0.8805035680624747,13079,2747,803,0.7061847343218144,1.6071428571428572,1.552295918367347,1422.193594,790,-2.848692335443038,-2250.466945,842,-2.6017574667458434
m9,alpha,alpha_G,1037,650,5828.545406499999,6343.139689,0.863405803003758,0.8891068410932483,0.9660743134087237,0.92,0.9424743892829001,598,21,52,0.5969141755062681,0.36065573770491804,0.04243008678881389,650,0.92,0.043076923076923075,1,0.8349337430382178,0.9191331923890064,0.8750125792492705,8695,1719,765,0.683785533958991,1.6806020066889633,1.4665551839464883,703.4107975,619,-1.8003454684975768,-1114.413845,650,-1.5788786
m9,alpha,alpha_H,1039,0,0.0,0.0,0.0,,,,0.0,0,0,0,0.0,0.9980750721847931,0.0019249278152069298,0,,,1,,,0.0,0,0,0,,,,0.0,0,,0.0,0,
