regime,variant,weight_F1_bridge_improvement,weight_F2_roughness_improvement,weight_F3_slope_continuity_improvement,weight_F4_duration_plausibility,weight_F5_n_height_ratio,weight_F6_solar_strength_ratio,weight_F7_solar_peak_alignment,weight_F8_site_centered_core_score,weight_F9_site_rank_core_score,beta_all_pooled_precision,beta_all_pooled_recall,beta_all_pooled_f1,beta_all_site_avg_precision,beta_all_site_avg_recall,beta_all_site_avg_f1,beta_all_positive_site_avg_precision,beta_all_positive_site_avg_recall,beta_all_positive_site_avg_f1,beta_sure_pooled_precision,beta_sure_pooled_recall,beta_sure_pooled_f1,beta_sure_site_avg_precision,beta_sure_site_avg_recall,beta_sure_site_avg_f1,beta_sure_positive_site_avg_precision,beta_sure_positive_site_avg_recall,beta_sure_positive_site_avg_f1
R1_beta_loso,G_b1p5_r1p0_sc0p0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.7422535211267606,0.831230283911672,0.7842261904761906,0.6170078355392108,0.6792528560910914,0.610873690444782,0.6170078355392108,0.6792528560910914,0.610873690444782,0.8323809523809523,0.9066390041493776,0.8679245283018868,0.5810097897665956,0.6885686730947846,0.6198509545779747,0.6640111883046806,0.7869356263940397,0.7084010909462567
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc1p0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7678571428571429,0.8138801261829653,0.7901990811638591,0.6324999160953217,0.6927228905170082,0.6393751360533049,0.6324999160953217,0.6927228905170082,0.6393751360533049,0.8502994011976048,0.8838174273858921,0.8667344862665309,0.7192111555479878,0.7381302812025947,0.7032922945475448,0.8219556063405574,0.8435774642315369,0.8037626223400512
R1_beta_loso,G_b1p5_r1p5_sc0p5,1.5,1.5,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.7450424929178471,0.8296529968454258,0.7850746268656718,0.617380237214199,0.6775772441213619,0.6105078814216015,0.617380237214199,0.6775772441213619,0.6105078814216015,0.8292220113851992,0.9066390041493776,0.8662041625371655,0.579217240483688,0.689541345628365,0.618704488283183,0.6619625605527862,0.788047252146703,0.7070908437522092
R2_beta_loso_plus_alpha,G_b1p5_r1p0_sc1p0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7011494252873564,0.8659305993690851,0.7748764996471419,0.5880292923775342,0.709301776213541,0.6085841586767811,0.5880292923775342,0.709301776213541,0.6085841586767811,0.803921568627451,0.9356846473029046,0.8648130393096836,0.6715849931637528,0.7350456300192868,0.6552451658120781,0.7675257064728603,0.8400521485934707,0.7488516180709465
R1_beta_loso,G_b2p0_r0p5_sc1p0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8197278911564626,0.7602523659305994,0.7888707037643208,0.6769086503091891,0.633708192531722,0.6236400600195825,0.6769086503091891,0.633708192531722,0.6236400600195825,0.893569844789357,0.8360995850622407,0.8638799571275455,0.637842775260761,0.649423290532311,0.6328571822727789,0.7289631717265842,0.742198046322641,0.7232653511688901
R2_beta_loso_plus_alpha,G_b1p5_r0p5_sc0p0,1.5,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.6876574307304786,0.861198738170347,0.7647058823529412,0.596734499537916,0.7082147129941248,0.6121104087126823,0.596734499537916,0.7082147129941248,0.6121104087126823,0.8046594982078853,0.9315352697095436,0.8634615384615385,0.687282822250092,0.7368978295605206,0.6673834969396932,0.7854660825715337,0.8421689480691664,0.7627239965025067
R1_beta_loso,G_b1p5_r2p0_sc0p0,1.5,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.726775956284153,0.8391167192429022,0.7789165446559297,0.607499483823349,0.6831652526505467,0.6065295728081873,0.607499483823349,0.6831652526505467,0.6065295728081873,0.8205607476635514,0.9107883817427386,0.8633235004916421,0.5723090066575798,0.6902969726823363,0.6155522786801704,0.6540674361800912,0.78891082592267,0.7034883184916232
R2_beta_loso_plus_alpha,G_b1p5_r0p5_sc0p5,1.5,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.7129506008010681,0.8422712933753943,0.7722342733188721,0.588079058128534,0.6943000637853579,0.6093179371936079,0.588079058128534,0.6943000637853579,0.6093179371936079,0.8139963167587477,0.91701244813278,0.8624390243902439,0.6865924252216162,0.7252146897691709,0.6606091341036939,0.7846770573961328,0.8288167883076241,0.7549818675470787
R2_beta_loso_plus_alpha,G_b1p5_r0p5_sc1p0,1.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6979695431472082,0.8675078864353313,0.7735583684950774,0.5561675747561001,0.7326677892854363,0.6208568453414637,0.5561675747561001,0.7326677892854363,0.6208568453414637,0.800711743772242,0.9336099585062241,0.8620689655172413,0.6098403473887761,0.7643271260822788,0.6674953477377823,0.6969603970157442,0.8735167155226045,0.7628518259860367
R2_beta_loso_plus_alpha,G_b1p5_r1p0_sc0p5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.6710526315789473,0.8848580441640379,0.763265306122449,0.5556923596938583,0.725934125934126,0.6014322695844976,0.5556923596938583,0.725934125934126,0.6014322695844976,0.7846153846153846,0.9522821576763485,0.8603561387066541,0.6607327153027267,0.7461972737476443,0.6537324636176968,0.7551231032031163,0.8527968842830221,0.7471228155630821
R2_beta_loso_plus_alpha,G_b1p5_r1p5_sc1p0,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6904761904761905,0.8690851735015773,0.7695530726256983,0.5749055596151735,0.7074672545260781,0.5945123196196753,0.5749055596151735,0.7074672545260781,0.5945123196196753,0.7954144620811288,0.9356846473029046,0.8598665395614872,0.5392493286515709,0.7047798819877907,0.5999352853541127,0.6162849470303667,0.8054627222717609,0.685640326118986
R1_beta_loso,G_b2p0_r2p0_sc1p0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7777777777777778,0.7949526813880127,0.7862714508580343,0.6467127140303832,0.6605654679184091,0.6136404234716109,0.6467127140303832,0.6605654679184091,0.6136404234716109,0.8484848484848485,0.8713692946058091,0.8597748208802456,0.6031199617267293,0.6767984792342133,0.6215091177285911,0.6892799562591192,0.7734839762676724,0.710296134546961
R2_beta_loso_plus_alpha,G_b1p5_r2p0_sc1p0,1.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6759036144578313,0.8848580441640379,0.7663934426229507,0.5725096569732198,0.728477415977416,0.6031493995183733,0.5725096569732198,0.728477415977416,0.6031493995183733,0.7842465753424658,0.950207468879668,0.8592870544090055,0.656801839834739,0.7468563151419798,0.648842366333807,0.7506306740968446,0.8535500744479769,0.7415341329529223
R1_beta_loso,G_b2p0_r1p0_sc0p5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.7681818181818182,0.7996845425867508,0.7836166924265843,0.6446689087347044,0.6609822620852033,0.6116070398400908,0.6446689087347044,0.6609822620852033,0.6116070398400908,0.8409542743538767,0.8775933609958506,0.8588832487309644,0.6076602361510213,0.6783040814751097,0.6234110625372449,0.6944688413154528,0.7752046645429825,0.7124697857568513
R2_beta_loso_plus_alpha,G_b1p0_r2p0_sc1p0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7390070921985815,0.8217665615141956,0.7781926811053025,0.6091250026494511,0.7022196062637239,0.6287829087424913,0.6091250026494511,0.7022196062637239,0.6287829087424913,0.8275193798449613,0.8858921161825726,0.8557114228456912,0.6924368947533326,0.7409331523510541,0.6889457126764235,0.7913564511466659,0.8467807455440618,0.7873665287730554
