regime,variant,substation_id,date,confidence,day_group,true_day,pred_day,score,threshold,confidence_score,true_start_time,true_end_time,pred_start_time,pred_end_time,v03_selected_duration_h
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_E,2024-09-24,sure,FP_day,False,True,4.4670186060359125,3.6775555499703607,0.7894630560655518,,,11:15,12:00,1.0
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_F,2023-12-24,sure,FP_day,False,True,4.848080755838417,3.690327091222695,1.157753664615722,,,13:15,14:45,1.75
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_F,2023-12-25,sure,FP_day,False,True,4.547241999724453,3.690327091222695,0.856914908501758,,,10:00,13:15,3.5
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_F,2023-12-26,sure,FP_day,False,True,3.9820249223952966,3.690327091222695,0.2916978311726015,,,09:00,13:45,5.0
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_F,2024-01-09,sure,FP_day,False,True,4.872368739895668,3.690327091222695,1.182041648672973,,,14:15,15:30,1.5
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_F,2024-01-17,sure,FP_day,False,True,4.164145318013905,3.690327091222695,0.47381822679121033,,,09:30,12:30,3.25
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_F,2024-01-18,sure,FP_day,False,True,4.610768647790031,3.690327091222695,0.9204415565673356,,,10:00,14:30,4.75
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_F,2024-02-01,sure,FP_day,False,True,3.837657711818491,3.690327091222695,0.14733062059579582,,,14:00,15:30,1.75
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_F,2024-02-18,sure,FP_day,False,True,3.8857614932313824,3.690327091222695,0.19543440200868734,,,11:30,13:00,1.75
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_F,2024-03-05,sure,FP_day,False,True,4.457829747951304,3.690327091222695,0.7675026567286087,,,13:15,16:45,3.75
