c_correct,c_keep,n_days,n_rpf,auto_share,review_days,review_share,review_yield,corrected_days,auto_fp,auto_fn,tp,day_precision,day_recall,day_f1,energy_precision,energy_iou,fp_per_station_year,auto_fn_per_station_year,review_days_per_station_year,expected_day_precision,expected_fp,cohort
0.875,0.125,2288,470,0.9003496503496503,228,0.09965034965034965,0.4692982456140351,356,7,14,349,0.9803370786516854,0.7425531914893617,0.8450363196125907,0.9594638740696058,0.826041803126492,1.1174606643356644,2.2349213286713288,36.397290209790214,0.9583179522971189,14.838808982225657,beta
0.88,0.12,2288,470,0.8981643356643356,233,0.10183566433566434,0.4678111587982833,353,6,14,347,0.9830028328611898,0.7382978723404255,0.8432563791008506,0.9621267679030633,0.8207572931190626,0.9578234265734266,2.2349213286713288,37.1954763986014,0.9590091764237485,14.46976072241676,beta
0.885,0.11499999999999999,2288,470,0.895541958041958,239,0.10445804195804195,0.4769874476987448,348,5,13,343,0.985632183908046,0.7297872340425532,0.8386308068459657,0.9624887207837294,0.8157377823846048,0.7981861888111889,2.075284090909091,38.15329982517483,0.9601087805781073,13.882144358818685,beta
0.89,0.10999999999999999,2288,470,0.8937937062937062,243,0.10620629370629371,0.4732510288065844,347,5,13,342,0.9855907780979827,0.7276595744680852,0.8372093023255814,0.9624706887646501,0.8153305627655217,0.7981861888111889,2.075284090909091,38.79184877622378,0.9603130241166461,13.77138063152378,beta
0.895,0.10499999999999998,2288,470,0.8911713286713286,249,0.10882867132867133,0.46987951807228917,345,5,13,340,0.9855072463768116,0.723404255319149,0.834355828220859,0.962536061537768,0.8101142241872236,0.7981861888111889,2.075284090909091,39.74967220279721,0.9607162343233703,13.552899158437224,beta
0.9,0.09999999999999998,2288,470,0.888548951048951,255,0.11145104895104894,0.47058823529411764,342,5,13,337,0.9853801169590644,0.7170212765957447,0.8300492610837438,0.9628290767014086,0.8069233591256753,0.7981861888111889,2.075284090909091,40.707495629370634,0.9612552863187476,13.250692078988319,beta
0.905,0.09499999999999997,2288,470,0.8837412587412588,266,0.11625874125874126,0.4774436090225564,335,5,13,330,0.9850746268656716,0.7021276595744681,0.8198757763975155,0.9627315439434573,0.7994872626259661,0.7981861888111889,2.075284090909091,42.46350524475525,0.9624927570531445,12.564926387196627,beta
0.91,0.08999999999999997,2288,470,0.8802447552447552,274,0.11975524475524475,0.4744525547445255,332,4,12,328,0.9879518072289156,0.6978723404255319,0.8179551122194514,0.9636788527779484,0.7962549462735864,0.638548951048951,1.9156468531468531,43.74060314685315,0.9629719895034712,12.293299484847584,beta
0.915,0.08499999999999996,2288,470,0.8771853146853147,281,0.12281468531468531,0.4804270462633452,327,4,12,323,0.9877675840978594,0.6872340425531915,0.8105395232120451,0.963652296441249,0.7903803960195309,0.638548951048951,1.9156468531468531,44.85806381118881,0.9637284733326467,11.860789220224564,beta
0.92,0.07999999999999996,2288,470,0.8732517482517482,290,0.12674825174825174,0.4896551724137931,320,4,12,316,0.9875,0.6723404255319149,0.7999999999999999,0.9641369012319831,0.7792082673100125,0.638548951048951,1.9156468531468531,46.29479895104895,0.9647317769548207,11.285831374457347,beta
