fold_id,cohort,held_out,rule,target_energy,target_day,c_correct,threshold_energy,threshold_day,binding,n_calibration_days,attainable,applies,target
alpha_alpha_G,alpha,alpha_G,L,0.9,,0.5,0.5,,energy,9360,True,energy,0.9
alpha_alpha_H,alpha,alpha_H,L,0.9,,0.5,0.5,,energy,9356,True,energy,0.9
alpha_alpha_I,alpha,alpha_I,L,0.9,,0.5,0.5,,energy,9353,True,energy,0.9
alpha_alpha_J,alpha,alpha_J,L,0.9,,0.5,0.5,,energy,9341,True,energy,0.9
alpha_alpha_A,alpha,alpha_A,E,0.9,,0.985,0.985,,energy,9356,True,energy,0.9
alpha_alpha_B,alpha,alpha_B,E,0.9,,0.985,0.985,,energy,9342,True,energy,0.9
alpha_alpha_C,alpha,alpha_C,E,0.9,,0.98,0.98,,energy,9342,True,energy,0.9
alpha_alpha_D,alpha,alpha_D,E,0.9,,0.985,0.985,,energy,9361,True,energy,0.9
alpha_alpha_E,alpha,alpha_E,E,0.9,,0.995,0.995,,energy,9362,False,energy,0.9
alpha_alpha_F,alpha,alpha_F,E,0.9,,0.995,0.995,,energy,9364,False,energy,0.9
alpha_alpha_G,alpha,alpha_G,E,0.9,,0.99,0.99,,energy,9360,True,energy,0.9
alpha_alpha_H,alpha,alpha_H,E,0.9,,0.985,0.985,,energy,9356,True,energy,0.9
alpha_alpha_I,alpha,alpha_I,E,0.9,,0.975,0.975,,energy,9353,True,energy,0.9
alpha_alpha_J,alpha,alpha_J,E,0.9,,0.98,0.98,,energy,9341,True,energy,0.9
alpha_alpha_A,alpha,alpha_A,L,,0.9,0.5,,0.5,day,9356,True,day,0.9
alpha_alpha_B,alpha,alpha_B,L,,0.9,0.5,,0.5,day,9342,True,day,0.9
alpha_alpha_C,alpha,alpha_C,L,,0.9,0.5,,0.5,day,9342,True,day,0.9
alpha_alpha_D,alpha,alpha_D,L,,0.9,0.5,,0.5,day,9361,True,day,0.9
alpha_alpha_E,alpha,alpha_E,L,,0.9,0.5,,0.5,day,9362,True,day,0.9
alpha_alpha_F,alpha,alpha_F,L,,0.9,0.5,,0.5,day,9364,True,day,0.9
alpha_alpha_G,alpha,alpha_G,L,,0.9,0.5,,0.5,day,9360,True,day,0.9
alpha_alpha_H,alpha,alpha_H,L,,0.9,0.5,,0.5,day,9356,True,day,0.9
alpha_alpha_I,alpha,alpha_I,L,,0.9,0.5,,0.5,day,9353,True,day,0.9
alpha_alpha_J,alpha,alpha_J,L,,0.9,0.5,,0.5,day,9341,True,day,0.9
alpha_alpha_A,alpha,alpha_A,E,,0.9,0.5,,0.5,day,9356,True,day,0.9
alpha_alpha_B,alpha,alpha_B,E,,0.9,0.5,,0.5,day,9342,True,day,0.9
alpha_alpha_C,alpha,alpha_C,E,,0.9,0.5,,0.5,day,9342,True,day,0.9
alpha_alpha_D,alpha,alpha_D,E,,0.9,0.5,,0.5,day,9361,True,day,0.9
alpha_alpha_E,alpha,alpha_E,E,,0.9,0.5,,0.5,day,9362,True,day,0.9
alpha_alpha_F,alpha,alpha_F,E,,0.9,0.5,,0.5,day,9364,True,day,0.9
alpha_alpha_G,alpha,alpha_G,E,,0.9,0.5,,0.5,day,9360,True,day,0.9
alpha_alpha_H,alpha,alpha_H,E,,0.9,0.5,,0.5,day,9356,True,day,0.9
alpha_alpha_I,alpha,alpha_I,E,,0.9,0.5,,0.5,day,9353,True,day,0.9
alpha_alpha_J,alpha,alpha_J,E,,0.9,0.5,,0.5,day,9341,True,day,0.9
