c_correct,c_keep,n_days,n_rpf,auto_share,review_days,review_share,review_yield,corrected_days,auto_fp,auto_fn,tp,day_precision,day_recall,day_f1,energy_precision,energy_iou,fp_per_station_year,auto_fn_per_station_year,review_days_per_station_year,expected_day_precision,expected_fp,no_review_band,cohort
0.75,0.5,10393,3381,0.9937457904358703,65,0.006254209564129702,0.7384615384615385,3111,67,289,3044,0.9784635165541626,0.9003253475303165,0.9377695625385088,0.8887785011550625,0.8693401894789325,2.354637736938324,10.15657173097277,2.284350043298374,0.9926280930779136,22.93400243461127,False,alpha
0.75,0.75,10393,3381,1.0,0,0.0,,3111,67,337,3044,0.9784635165541626,0.9003253475303165,0.9377695625385088,0.8887785011550625,0.8693401894789325,2.354637736938324,11.84347637833157,0.0,0.9926280930779136,22.93400243461127,True,alpha
0.8,0.05,10393,3381,0.8931011257577215,1111,0.10689887424227845,0.31503150315031503,3089,64,6,3025,0.979281320815798,0.8947057083703046,0.9350850077279753,0.8891978692249057,0.8696229709019485,2.249206196478399,0.2108630809198499,39.0448138169922,0.994167267186298,18.017311661525707,False,alpha
0.8,0.1,10393,3381,0.9338015972289041,688,0.06619840277109593,0.4796511627906977,3089,64,26,3025,0.979281320815798,0.8947057083703046,0.9350850077279753,0.8891978692249057,0.8696229709019485,2.249206196478399,0.9137400173193496,24.178966612142787,0.994167267186298,18.017311661525707,False,alpha
0.8,0.2,10393,3381,0.9591070913114597,425,0.04089290868854036,0.6352941176470588,3089,64,86,3025,0.979281320815798,0.8947057083703046,0.9350850077279753,0.8891978692249057,0.8696229709019485,2.249206196478399,3.0223708265178484,14.936134898489367,0.994167267186298,18.017311661525707,False,alpha
0.8,0.3,10393,3381,0.9729625709612238,281,0.0270374290387761,0.7188612099644128,3089,64,154,3025,0.979281320815798,0.8947057083703046,0.9350850077279753,0.8891978692249057,0.8696229709019485,2.249206196478399,5.412152410276147,9.87542095641297,0.994167267186298,18.017311661525707,False,alpha
0.8,0.5,10393,3381,0.9916289810449341,87,0.00837101895506591,0.7701149425287356,3089,64,289,3025,0.979281320815798,0.8947057083703046,0.9350850077279753,0.8891978692249057,0.8696229709019485,2.249206196478399,10.15657173097277,3.0575146733378236,0.994167267186298,18.017311661525707,False,alpha
0.8,0.8,10393,3381,1.0,0,0.0,,3089,64,356,3025,0.979281320815798,0.8947057083703046,0.9350850077279753,0.8891978692249057,0.8696229709019485,2.249206196478399,12.511209467911094,0.0,0.994167267186298,18.017311661525707,True,alpha
0.85,0.05,10393,3381,0.8910805349754642,1132,0.10891946502453574,0.3206713780918728,3068,56,6,3012,0.9817470664928292,0.8908606921029282,0.9340983098154754,0.8896640049434159,0.8695219376652557,1.968055421918599,0.2108630809198499,39.78283460021168,0.9953204435602471,14.356879157162037,False,alpha
0.85,0.1,10393,3381,0.9317810064466467,709,0.06821899355335322,0.4837799717912553,3068,56,26,3012,0.9817470664928292,0.8908606921029282,0.9340983098154754,0.8896640049434159,0.8695219376652557,1.968055421918599,0.9137400173193496,24.916987395362263,0.9953204435602471,14.356879157162037,False,alpha
0.85,0.2,10393,3381,0.9570865005292023,446,0.04291349947079765,0.6345291479820628,3068,56,86,3012,0.9817470664928292,0.8908606921029282,0.9340983098154754,0.8896640049434159,0.8695219376652557,1.968055421918599,3.0223708265178484,15.674155681708843,0.9953204435602471,14.356879157162037,False,alpha
0.85,0.3,10393,3381,0.9709419801789666,302,0.029058019821033388,0.7119205298013245,3068,56,154,3012,0.9817470664928292,0.8908606921029282,0.9340983098154754,0.8896640049434159,0.8695219376652557,1.968055421918599,5.412152410276147,10.613441739632446,0.9953204435602471,14.356879157162037,False,alpha
0.85,0.5,10393,3381,0.9896083902626768,108,0.010391609737323199,0.7407407407407407,3068,56,289,3012,0.9817470664928292,0.8908606921029282,0.9340983098154754,0.8896640049434159,0.8695219376652557,1.968055421918599,10.15657173097277,3.7955354565572983,0.9953204435602471,14.356879157162037,False,alpha
0.85,0.85,10393,3381,1.0,0,0.0,,3068,56,369,3012,0.9817470664928292,0.8908606921029282,0.9340983098154754,0.8896640049434159,0.8695219376652557,1.968055421918599,12.968079476570768,0.0,0.9953204435602471,14.356879157162037,True,alpha
